Name,Value,Category,Description
Phase Marg,59.25 °,System Information,Bode Plot Phase Margin
Cross Freq,23.75 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,64.08 dB,System Information,Gain at 1Hz
Gain Marg,-21.15 dB,System Information,Bode Plot Gain Margin
Vout,5 V,System Information,Operational Output Voltage
Cin IRMS,595.07 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,354.11 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,179.05 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,32.06 µW,Capacitor,Output capacitor power dissipation
Duty Cycle,65.99%,System Information,Duty cycle
Efficiency,91.1%,System Information,Steady state efficiency
Frequency,570 kHz,System Information,Switching frequency
IC Tj,50.68 °C,IC,IC junction temperature
ICThetaJA,48.7 °C/W,IC,IC junction-to-ambient thermal resistance
L Ipp,620.25 mA,Inductor,Peak-to-peak inductor ripple current
L Pd,176 mW,Inductor,Inductor power dissipation
IC Pd,424.69 mW,IC,IC power dissipation
Diode Pd,374.06 mW,Diode,Diode power dissipation
D1 Tj,82.37 °C,Diode,D1 junction temperature
Pout,10 W,System Information,Total output power
Iin Avg,1.37 A,IC,Average input current
IC Ipk,2.31 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,3.36 mV,System Information,Peak-to-peak output ripple voltage
M Vds Act,140.17 mV,Mosfet,Voltage drop across the MosFET
M Irms,1.62 A,Mosfet,MOSFET RMS ripple current
FootPrint,225 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,4.96 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,5.25%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,8 V,System Information,Vin operating point
Iout,2 A,System Information,Iout operating point
Cin Pd,354.11 µW,Power,Input capacitor power dissipation
Cout Pd,32.06 µW,Power,Output capacitor power dissipation
L Pd,176 mW,Power,Inductor power dissipation
IC Pd,424.69 mW,Power,IC power dissipation
Diode Pd,374.06 mW,Power,Diode power dissipation
Total BOM,$1.57,System Information,Total BOM Cost
Total Pd,975.15 mW,Power,Total Power Dissipation
BOM Count,14 ,System Information,Total Design BOM count
