Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C3, C8, C9",0805,5,100nF,C49678
C10,0603,1,10pF,C1634
"C11, C14, C15, C16, C5, C7",0805,6,22uF,C45783
C12,0603,1,1.2nF,C30615
"C2, C4",CP_Elec_5x5.7,2,47uF, C7471868
C6,0603,1,8.2nF,C1322360
D1,D_SOD-123,1,D,C8598
IC1,SOIC127P600X175-8N,1,TPS54331DR,C9865
J1,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
"J2, J5, J6, J7, J8",PinHeader_1x03_P2.54mm_Vertical,5,Conn_01x03,C6332196
J3,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even, C5372865
J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,C8465
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,10uH,C132141
"Q1, Q2",SOT-23,2,S8050_SMD,C2146
"R1, R10, R2, R3, R4, R5, R6",0805,7,12k,C17444
R11,0805,1,36k,C4360
R12,0805,1,10k,C17414
R13,0805,1,510,C17734
R14,0805,1,2k,C17604
R8,0805,1,470,C17710
SW2,SW_PUSH_6mm,1,SW_Push,
U1,ESP-12E,1,ESP8266-12E_ESP-12E,C82891
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
