Designator,Mid X,Mid Y,Rotation,Layer
C1,53.25,-46.0,0.0,top
C10,48.25,-81.75,90.0,top
C11,46.0,-62.5,270.0,top
C12,51.75,-80.0,180.0,top
C13,42.75,-62.5,270.0,top
C14,44.75,-68.5,180.0,top
C15,44.75,-65.75,180.0,top
C16,44.75,-71.0,180.0,top
C2,38.0,-75.9,180.0,top
C3,54.5,-54.75,90.0,top
C4,39.75,-53.0,270.0,top
C5,31.75,-75.25,90.0,top
C6,37.75,-81.75,90.0,top
C7,58.5,-65.75,90.0,top
C8,56.25,-65.75,90.0,top
C9,46.5,-77.5,180.0,top
D1,44.5,-74.5,180.0,top
IC1,43.0,-81.75,0.0,top
J1,31.75,-51.625,0.0,top
J2,75.5,-67.75,270.0,top
J3,64.145,-74.455,0.0,top
J4,35.445,-67.205,90.0,top
J5,75.5,-72.0,270.0,top
J6,75.5,-76.0,270.0,top
J7,48.5,-39.525,0.0,top
J8,52.5,-39.525,0.0,top
L1,51.0,-72.5,270.0,top
Q1,48.5,-54.5,0.0,top
Q2,48.5,-49.0,180.0,top
R1,53.25,-50.5,0.0,top
R10,75.0,-58.25,270.0,top
R11,52.0,-82.25,180.0,top
R12,56.0,-71.75,90.0,top
R13,56.0,-76.25,90.0,top
R14,55.75,-81.0,270.0,top
R2,77.25,-55.525,270.0,top
R3,75.0,-53.275,90.0,top
R4,53.25,-48.0,0.0,top
R5,52.0,-54.75,270.0,top
R6,45.0,-51.5,90.0,top
R8,43.25,-46.25,180.0,top
SW2,41.75,-39.75,270.0,top
U1,64.5,-51.25,0.0,top
U2,51.25,-61.75,270.0,top
